223.123.77.10 - - [03/Jul/2026:00:01:33 +0000] "GET /boaform/admin/formLogin?username=adminisp&psd=adminisp HTTP/1.0" 401 115
141.11.88.108 - - [03/Jul/2026:00:39:04 +0000] "GET /login HTTP/1.1" 500 145
87.236.176.228 - - [03/Jul/2026:01:11:09 +0000] "GET / HTTP/1.1" 401 132
212.98.186.8 - - [03/Jul/2026:01:19:39 +0000] "GET / HTTP/1.1" 401 103
66.132.195.120 - - [03/Jul/2026:01:22:48 +0000] "GET / HTTP/1.1" 401 103
66.132.195.120 - - [03/Jul/2026:01:22:57 +0000] "-" 400 435
66.132.195.120 - - [03/Jul/2026:01:22:57 +0000] "GET / HTTP/1.1" 401 132
66.132.195.120 - - [03/Jul/2026:01:23:00 +0000] "-" 400 435
66.132.195.120 - - [03/Jul/2026:01:23:00 +0000] "GET /security.txt HTTP/1.1" 401 140
127.0.0.1 - - [03/Jul/2026:01:41:25 +0000] "GET /api/ui/nav/categories HTTP/1.1" 200 157
127.0.0.1 - - [03/Jul/2026:01:41:26 +0000] "GET /api/ui/featured HTTP/1.1" 200 145
127.0.0.1 - - [03/Jul/2026:01:41:26 +0000] "GET /api/brands HTTP/1.1" 200 193
127.0.0.1 - - [03/Jul/2026:01:45:25 +0000] "GET /api/ui/nav/categories HTTP/1.1" 200 157
127.0.0.1 - - [03/Jul/2026:01:45:26 +0000] "GET /api/ui/featured HTTP/1.1" 200 145
127.0.0.1 - - [03/Jul/2026:01:45:26 +0000] "GET /api/brands HTTP/1.1" 200 193
94.154.43.99 - - [03/Jul/2026:02:30:07 +0000] "GET /login HTTP/1.1" 500 146
205.210.31.202 - - [03/Jul/2026:03:01:10 +0000] "-" 400 435
205.210.31.202 - - [03/Jul/2026:03:01:11 +0000] "-" 400 435
65.49.1.80 - - [03/Jul/2026:03:27:39 +0000] "-" 400 435
5.61.209.92 - - [03/Jul/2026:04:00:55 +0000] "GET /SDK/webLanguage HTTP/1.1" 401 149
45.74.17.175 - - [03/Jul/2026:04:04:24 +0000] "CONNECT wfuchs.de:443 HTTP/1.1" 501 443
45.74.17.175 - - [03/Jul/2026:04:04:24 +0000] "CONNECT wfuchs.de:443 HTTP/1.1" 501 443
